english term	urdu equivalent	suggestions only
		
AC, DC	یک سمت رو، بدلتا رو	
AC voltage, DC voltage	یک سمت رو برقی دباو، بدلتا رو برقی دباو	
AC motor, DC motor	یک سمت رو موٹر، بدلتا رو موٹر	
across	آرپار، عبوری، عبوری کرنا	
about	ارد گرد	
above; lying above a circle	ٹھیک دائرہ کے اوپر کچھ بلندی پر پایا جاتا ہے	
absolute value	مطلق قیمت (میٹرک کتاب)	
absolutely integrable	مطلق قابل تکمل	
absorber	جاذب	
AC current، AC voltage	بدلتا رو، بدلتا برقی دباؤ	
accumulation point	نقطہ اجتماع	
acquarium	مچھلی گھر	
ADC: analog to digital converter	مماثل سے عددی مبادل کار	
Adrien Marie Legendre	اڈریان مری لیژانڈر	
advanced text	اعلٰی درجے کی کتاب	اعلٰی نصاب
ASICs	خصوصی استعمال کے مخلوط ادوار	
Accuracy, 3 digit accuracy	درستگی، اشاریہ کے بعد تین ہندسوں تک درستگی	
Achille Ernest Delesse’r rule	اشیلہ ارنسٹ دولس، قاعدہ دولس	
active, passive component: resistor and transistor	عامل پرزہ، غیع عامل پرزہ	
active mode :transistor	افزائندہ حال	
active: active low, active high, inactive	بلند عمل پیرا، غیر عمل پیرا	
acute angle (less than 90)	زاویہ حادہ	
adder, subtractor, adder-subtractor	جمع کار، منفی کار، جمع و منفی کار	
addition or deletion	شمولیت یا کٹوتی	
addition, subtraction	جمع، تفریق	
additional	اضافی، زائد	
additive	جمعی	
additivity	جمع پذیری	
adiabatic process	حرارت نا گزر عمل	
adjacent [states]	ہمسایہ، پڑوسی	ساتھ ملا ہوا
adjoint matrix	شریک قالب	
adjust	درست کرنا، مطابق بنانا	
Admittance, impedance (electrical)	برقی رکاوٹ، برقی فراوانی	
Adolf Fick	اڈولف فک	
advantage, disadvantage	افادیت، قباحت	
aerodynamics	ہوائی حرکیات	
aerofoil	ہوائی پترا	
aging	عمر رسیدگی	
agree, agreement	موافق ہونا، موافقت	
air conditioner	ایئر کنڈشنر	
air foil (this is american spelling), aerofoil	ہوائی پترا	
Alaska	ایلاسکا	
alcalii (base)	القلی (اساس)	
Aleksander Mikhailovich Lyapunov (russian Maths)	سکندر میکائل لیاپونو	
Alexander	سکندر	
Alexandria	سکندریا	
algebraic multiplicity	الجبرائی کثرت	
algebraic, transcendental functions or numbers	الجبرائی اور ماورائی تفاعل یا اعداد	
align, alignment, aligned	سیدھ میں لانا، صف بندی، ہم صف، صف بستہ کئے ہوئے ہے	
algorithm algorithmic	الخوارزم، الخوارزمی	محمد ابن مومی الخوارزمی
allot	مقرر کرنا	
along	ساتھ ساتھ, ہمراہ	
alphabet (english)	لاطینی حروف تہجی	
alternate	باری باری، ایک کے بعد دوسرا	
alternating current	بدلتا رو	 
alternating series	بدلتا تسلسل	
alternating series theorem	مسئلہ بدلتا تسلسل	
ammeter	ایمپیئر پیما	
ampere	ایمپیئر	
ampere's circuital law	ایمپیئر کا دوری قانون	
amplifier	افزائش کار، ایمپلی فائر	
amplifier: preamplifier, power amplifier	ابتدائی ایمپلی فائر، قوی ایمپلی فائر	
amplitude	حیط، حیطہ	
amplitude	حیط: کسی لہر کے وسطی حصہ سے اس کے بالائی یا نچلے حصوں کے درمیان کا فاصلہ	 
analog electronics	مماثل برقیات	
analysis, DC, AC	تجزیہ، یک سمت تجزیہ، بدلتا تجزیہ	
analytic continuation	تحلیلی استمرار	
analytic function	تحلیلی تفاعل	
analytical analysis	تحلیلی تجزیہ	
analyticity	تحلیلی ہونا، تحلیل پذیری	
analytical tools	تجزیاتی آلات	
AND, OR, NOT	ضرب گیٹ، جمع گیٹ، نفی گیٹ	
Andre Louis Cholesky	اندرِ لوئی شولسکی	
angioplasty	انجویپلاسٹی	
angle	زاویہ	
angle of elevation; angle of depression	زاویہ صعود؛ زاویہ نزول	matric
angular displacement	زاویائی ہٹاو	
angular form: of writing complex numbers=r, theta	زاویائی طرز	
angular frequency	زاویاتی تعدادِ ارتعاش	
angular speed, velocity: ω	زاویاتی رفتار، سمتیہ زاویاتی رفتار	
antireflective coating	غیر انعکاسی تہہ	
anion, (cation)	منفی باررداریہ (مثبت بارداریہ)	
anisotropic	سمتی خاصیت	
anode	مثبت برقیرہ	
annulus, (washer)	چھلا	
antenna	اینٹینا	
antenna: end-fire antenna	محوری انٹینا	
antenna: pattern: primary pattern, secondary pattern	انفرادی نقش، قطاری نقش	
antenna: transmitting, receiving	وصولی اینٹینا، اخراجی اینٹینا	
anticlockwise, clockwise	گھڑی کی سوئی کے مخالف رخ، گھڑی مخالف رخ	گھڑی وار، خلاف گھڑی
antiderivative	الٹ تفرق	
antilog	الٹ لاگ	
anti matter	ضد مادہ	
aperiodic	غیر دوری	
aperture: effective aperture (antenna)	اخراجی رقبہ یا اخارجی سطح	
Apollo	اپالو	
apparent power: absolute value of complex power	ظاہری طاقت	
aphelion	اوج شمس، اوج شمسی	
